Frame,Nose_x,Nose_y,Nose_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Body_Center_x,Body_Center_y,Body_Center_likelihood,Left_Body_x,Left_Body_y,Left_Body_likelihood,Right_Body_x,Right_Body_y,Right_Body_likelihood,Tail_Base_x,Tail_Base_y,Tail_Base_likelihood,Head_Center_x,Head_Center_y
42,116.4,150.04,0.24,119.62,165.01,0.25,115.17,164.77,0.3,114.62,155.7,0.11,117.37,154.82,0.08,123.81,163.86,0.06,118.7,144.79,0.22,117.06,159.94
43,116.63,150.98,0.23,119.75,164.97,0.26,115.25,164.68,0.32,114.62,155.29,0.11,117.66,154.58,0.07,123.65,164.12,0.05,118.61,144.97,0.23,117.21,160.21
44,116.61,150.28,0.23,119.87,164.6,0.22,122.14,156.56,0.3,114.54,155.38,0.09,117.16,154.46,0.06,123.85,164.22,0.05,118.72,145.0,0.21,119.54,157.15
45,116.72,149.96,0.23,120.13,164.52,0.2,122.22,156.37,0.29,114.68,155.46,0.08,117.08,154.54,0.06,123.87,163.94,0.06,118.78,145.02,0.21,119.69,156.95
46,116.95,150.3,0.21,120.31,164.45,0.19,122.15,156.75,0.28,114.74,155.18,0.07,117.17,154.31,0.05,123.63,163.79,0.05,118.77,145.09,0.21,119.8,157.17
47,117.1,150.21,0.2,117.79,160.02,0.18,122.27,156.58,0.27,114.77,155.13,0.07,117.79,154.3,0.05,125.73,161.4,0.05,118.8,145.12,0.21,119.05,155.6
48,117.26,150.98,0.2,118.08,160.28,0.2,122.19,157.25,0.25,114.83,154.98,0.06,117.81,153.96,0.04,125.51,160.85,0.05,118.63,145.26,0.21,119.18,156.17
49,117.27,150.8,0.19,118.09,160.16,0.2,122.3,156.98,0.25,114.9,155.0,0.05,117.74,153.94,0.04,123.35,163.25,0.06,118.64,145.3,0.2,119.22,155.98
50,117.09,150.42,0.19,118.04,159.87,0.18,122.38,156.29,0.25,115.0,154.97,0.05,117.77,153.94,0.04,123.54,163.28,0.06,118.69,145.29,0.2,119.17,155.53
51,117.11,150.36,0.19,118.04,159.84,0.17,122.4,156.2,0.24,114.92,154.84,0.05,117.76,153.78,0.04,123.57,163.33,0.06,118.77,145.3,0.19,119.18,155.47
